Layer1	Layer2	CKA_Value
projection	pool	0.9817970503639379
projection	dropout	0.9817970503639379
projection	projection	0.9877470228782931
projection	batch_norm	0.027827409414219524
projection	fc	0.5198711322501477
batch_norm	spatio_temporal	0.9095221092711748
batch_norm	pool	0.03462321406573218
batch_norm	dropout	0.03462321406573218
batch_norm	projection	0.027062002724737792
batch_norm	batch_norm	0.9875915089572338
batch_norm	fc	0.012688999745288592
fc	spatio_temporal	0.0132562969407217
fc	pool	0.4286097294657414
fc	dropout	0.4286097294657414
fc	projection	0.47381149412041734
fc	batch_norm	0.01270927019497269
fc	fc	0.9074777218300351
spatio_temporal	spatio_temporal	0.9649416284379494
spatio_temporal	pool	0.03934068868712954
spatio_temporal	dropout	0.03934068868712954
spatio_temporal	projection	0.030266819511808655
spatio_temporal	batch_norm	0.9365234252802497
spatio_temporal	fc	0.012864390696915516
pool	spatio_temporal	0.0384863956197052
pool	pool	0.9943358178118057
pool	dropout	0.9943358178118057
pool	projection	0.9765664782377258
pool	batch_norm	0.03287833544945319
pool	fc	0.46214902221599186
dropout	spatio_temporal	0.0384863956197052
dropout	pool	0.9943358178118057
dropout	dropout	0.9943358178118057
dropout	projection	0.9765664782377258
dropout	batch_norm	0.03287833544945319
dropout	fc	0.46214902221599186
projection	spatio_temporal	0.031316886245219236
projection	pool	0.9866645765840982
projection	dropout	0.9866645765840982
projection	projection	0.9918474188749735
projection	batch_norm	0.02674637578060659
projection	fc	0.4982749435708398
batch_norm	spatio_temporal	0.9172124759118999
batch_norm	pool	0.03327051843402045
batch_norm	dropout	0.03327051843402045
batch_norm	projection	0.025660856715501782
batch_norm	batch_norm	0.9895229603810569
batch_norm	fc	0.012011255056359856
fc	spatio_temporal	0.012757295151098956
fc	pool	0.4299742410162591
fc	dropout	0.4299742410162591
fc	projection	0.46840145729324273
fc	batch_norm	0.012039787116259809
fc	fc	0.9406735622031697
spatio_temporal	spatio_temporal	0.974344652762215
spatio_temporal	pool	0.03965765844018195
spatio_temporal	dropout	0.03965765844018195
spatio_temporal	projection	0.03089868486939643
spatio_temporal	batch_norm	0.9299572502675306
spatio_temporal	fc	0.01261330132639055
pool	spatio_temporal	0.038476966341300614
pool	pool	0.993432175365507
pool	dropout	0.993432175365507
pool	projection	0.9767942237130643
pool	batch_norm	0.03332519090643079
pool	fc	0.39424091682375956
dropout	spatio_temporal	0.038476966341300614
dropout	pool	0.993432175365507
dropout	dropout	0.993432175365507
dropout	projection	0.9767942237130643
dropout	batch_norm	0.03332519090643079
dropout	fc	0.39424091682375956
projection	spatio_temporal	0.031193599863367963
projection	pool	0.9832411109500947
projection	dropout	0.9832411109500947
projection	projection	0.9916963692040822
projection	batch_norm	0.027147569613862232
projection	fc	0.4306434134907503
batch_norm	spatio_temporal	0.937332356121967
batch_norm	pool	0.033645731897020886
batch_norm	dropout	0.033645731897020886
batch_norm	projection	0.02614377700872574
batch_norm	batch_norm	0.9890375366156394
batch_norm	fc	0.011752421245683894
fc	spatio_temporal	0.013067013012593868
fc	pool	0.42714805976936043
fc	dropout	0.42714805976936043
fc	projection	0.4713441809369404
fc	batch_norm	0.012522486811437273
fc	fc	0.9455034287152091
